cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio
34608822994,BALENO SOCIEDAD DE RESPONSABILIDAD LIMITADA,1988-09-23-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,BUENOS AIRES,CASEROS,CATRILO,4573,,, 1678,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,CASEROS,CATRILO,4573,,, 1678,NO CONFIRMADO
34608997964,RARECA SOCIEDAD ANONIM,1983-12-23-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LA PLATA AV.,213,05,B, 1184,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LA PLATA AV.,213,05,B, 1184,NO CONFIRMADO
34609499410,ABASTECIMIENTOS ELECTRONICOS S A,1985-08-15-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,INDEPENDENCIA AV.,3700,,, 1226,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,INDEPENDENCIA AV.,3700,,, 1226,NO CONFIRMADO
34609625602,SEARCH PERSONAL S A,1985-07-22-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PARANA,426,01,F, 1017,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PARANA,426,01,F, 1017,NO CONFIRMADO
34610177028,THESING CONSTRUCCIONES SA,1978-06-07-00:00,SOCIEDAD ANONIMA,2021-04-23-14:31,,BUENOS AIRES,MUNRO,AVENIDA MITRE,3902,,, 1605,NO CONFIRMADO,BUENOS AIRES,MUNRO,AVENIDA MITRE,3902,,, 1605,NO CONFIRMADO
34610188119,PROALSA S R L E F,1986-02-14-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,TIERRA DEL FUEGO,RIO GRANDE,ESPORA,833,,, 9420,NO CONFIRMADO,TIERRA DEL FUEGO,RIO GRANDE,ESPORA,833,,, 9420,NO CONFIRMADO
34610205358,CORRUGADOS TARIJA SOCIEDAD DE RESPONSABILIDAD LIMITADA,1985-08-08-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TARIJA,4235,,, 1253,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TARIJA,4235,,, 1253,NO CONFIRMADO
34610256777,CADELCAS SRL,1988-02-11-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:50,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIOBAMBA,1019,,, 1116,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIOBAMBA,1019,,, 1116,NO CONFIRMADO
34610299212,GIMNASIO LIFE  S R L,1987-06-15-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,BUENOS AIRES,ISIDRO CASANOVA,AV PCIAS UNIDAS,7980,,, 1765,NO CONFIRMADO,BUENOS AIRES,ISIDRO CASANOVA,AV PCIAS UNIDAS,7980,,, 1765,NO CONFIRMADO
34610436732,ASOC CIVIL INST MARIA AUXILIADORA,1940-02-19-00:00,ASOCIACION CIVIL,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YAPEYU,132,,, 1202,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YAPEYU,132,,, 1202,NO CONFIRMADO
34610675923,TAPE  S A,1988-02-04-00:00,SOCIEDAD ANONIMA,2021-05-13-17:11,,CORRIENTES,CURUZU CUATIA,RODRIGUEZ PEÑA,616,,, 3460,CONFIRMADO,CORRIENTES,CURUZU CUATIA,RODRIGUEZ PEÑA,616,,, 3460,DECLARADO POR INTERNET
34610693387,PROVISION INDUSTRIAL SOCIEDAD DE RESPONSABILIDAD LIMITADA,1986-10-13-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,BUENOS AIRES,MARTINEZ,HIPOLITO YRIGOYEN,438,,, 1640,NO CONFIRMADO,BUENOS AIRES,MARTINEZ,HIPOLITO YRIGOYEN,438,,, 1640,NO CONFIRMADO
34610815652,IAPALUCCI S R L,1986-08-29-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CARACAS,480,04,A, 1406,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CARACAS,480,04,A, 1406,NO CONFIRMADO
34610822780,SABATINO VIII,1992-05-01-00:00,ASOCIACION CIVIL,2020-08-28-14:25,,BUENOS AIRES,PLAYA SAN BERNARDO,CHIOZZA,2350,,, 7111,NO CONFIRMADO,BUENOS AIRES,PLYA.S.BERNARDO,CHIOZZA,2350,,, 7111,NO CONFIRMADO
34610893092,HIPERNET S.A.,1985-09-23-00:00,SOCIEDAD ANONIMA,2021-06-01-15:15,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARTILLEROS,2369,,, 1428,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ARTILLEROS,2369,,, 1428,DECLARADO
34611006537,SERDEN SRL,1984-07-12-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,SANTA FE,SAN LORENZO,RUTA 10 S/N,0,,, 2200,CONFIRMADO,SANTA FE,ROSARIO,CORDOBA,1330,04,009, 2000,NO CONFIRMADO
34611017008,"COOPERATIVA DE TELECOMUNICACIONES, DE SERVICIOS MULTIPLES, VIVIENDA, PROVISION Y CONSUMO DE FUNES LIMITADA",1963-01-16-00:00,COOPERATIVA,,,SANTA FE,FUNES,H ANGELOME,1864,,, 2132,DECLARADO,SANTA FE,FUNES,H ANGELOME,1864,,, 2132,DECLARADO
34611173654,GENTEAMAR SA,1986-12-26-00:00,SOCIEDAD ANONIMA,2020-10-30-18:12,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MORENO,1220,3,C, 1091,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MORENO,1220,3,C, 1091,DECLARADO POR INTERNET
34611317346,CLUB BANCO DE LA NACION SAN RAFAEL MZA MUTUAL SOCIAL Y DEPORTIVA,1971-07-15-00:00,ASOCIACION CIVIL,2021-05-03-10:46,,MENDOZA,SAN RAFAEL,ADOLFO CALLE Y SARDI,0,,, 5600,INEXISTENTE - DESCONOCIDO,MENDOZA,SAN RAFAEL,HIPOLITO IRIGOYEN,113,,, 5600,NO CONFIRMADO
34611376717,VIDEO CLUB PRIVADO S R L,1986-04-30-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:42,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GUARDIA VIEJA,4320,,, 1192,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GUARDIA VIEJA,4320,,, 1192,NO CONFIRMADO
34611479796,ASOCIACION DEL PERSONAL DE LOS ORGANISMOS DE CONTROL,1962-08-06-00:00,ASOCIACION CIVIL,2021-05-03-11:39,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,1419,,, 1037,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,1419,,, 1037,NO CONFIRMADO
34611487128,VIPLAS SRL E F,1986-10-29-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:44,,BUENOS AIRES,QUILMES OESTE,341,3133,,, 1879,NO CONFIRMADO,BUENOS AIRES,QUILMES OESTE,341,3133,,, 1879,NO CONFIRMADO
34611541793,LAP SCS,1987-02-25-00:00,SOCIEDAD EN COMANDITA SIMPLE,2021-04-26-12:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,1801,PB,D, 1090,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,1801,PB,D, 1090,NO CONFIRMADO
34611588129,YESSA  S R L,1987-07-03-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-10:59,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PORTELA,3354,,, 1437,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PORTELA,3354,,, 1437,NO CONFIRMADO
34611842882,SUPERMERCADOS MIFY SA,1986-04-03-00:00,SOCIEDAD ANONIMA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MEDRANO PEDRO AV.,344,PB,, 1179,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MEDRANO,344,PB,, 1178,NO CONFIRMADO
34611871262,CAUPLAS S R L,1982-12-29-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-06-01-16:50,,CORDOBA,CIUDAD DE CORDOBA SUR,CIRCUNVALACION KM 13,0,,, 5000,DECLARADO,CORDOBA,CORDOBA,CIRCUMVALACION KM 13,0,,, 5000,NO CONFIRMADO
34612051366,LONGVIAL  S A C Y C,1977-08-03-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,545,04,405, 1043,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,545,04,405, 1043,NO CONFIRMADO
34612073475,PRODUCTOS EL MOLINERO S A,1989-11-07-00:00,SOCIEDAD ANONIMA,2021-04-27-12:25,,BUENOS AIRES,VALENTIN ALSINA,CORONEL SAYOS,2549,,, 1822,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BONORINO E. CNEL.,271,01,A, 1406,NO CONFIRMADO
34612113884,LA VETTURA S A,1987-02-11-12:00,SOCIEDAD ANONIMA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV JUAN B JUSTO,2874,PB,, 1414,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV JUAN B JUSTO,2874,PB,, 1414,NO CONFIRMADO
34612335089,ARENERA BAIGORRIA SOCIEDAD DE RESPONSABILIDAD LIMITADA,1986-04-29-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SANTA FE,GDERO.BAIGORRIA,C C VIGIL,789,,, 2152,NO CONFIRMADO,SANTA FE,GDERO.BAIGORRIA,C C VIGIL,789,,, 2152,NO CONFIRMADO
34612491250,CENTRO MEDICO INTERDICIPLINARIO S R L,1987-04-03-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:02,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON J. D. TTE.GRAL,1685,PB,B, 1037,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON J. D. TTE.GRAL,1685,PB,B, 1037,NO CONFIRMADO
34612620034,SVETELMAN S R L,1987-09-08-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PARAGUAY,4158,04,017, 1425,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PARAGUAY,4158,04,017, 1425,NO CONFIRMADO
34612739538,AHORROS ADMINISTRADOS  S A DE AHORRO PARA FINES DETERMINADOS,1977-08-22-00:00,SOCIEDAD ANONIMA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PUEYRREDON AV.,860,05,, 1032,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PUEYRREDON AVDA.,860,05,, 1032,NO CONFIRMADO
34612890821,CRECENTA PRODUCCIONES S A,1987-04-07-00:00,SOCIEDAD ANONIMA,2018-11-13-16:10,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA LUIS PTE.,470,,, 1110,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUIS SAENZ PENA,470,,, 1110,NO CONFIRMADO
34613042603,PLASTIVIL S  A,1985-12-26-12:00,SOCIEDAD ANONIMA,,,SAN LUIS,VILLA MERCEDES,RUTA NACIONAL 148,756,,, 5730,NO CONFIRMADO,SAN LUIS,VILLA MERCEDES,RUTA NACIONAL 148,756,,, 5730,NO CONFIRMADO
34613287762,BOTOS S R L,1991-07-16-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CUCHA CUCHA,56,01,B, 1405,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CUCHA CUCHA,56,01,B, 1405,NO CONFIRMADO
34613364740,AGROQUIMICA RHONE POULENC SA,1987-05-21-12:00,SOCIEDAD ANONIMA,2018-11-13-15:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALEM LEANDRO N. AV.,1050,13,, 1001,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALEM LEANDRO N. AV.,1050,13,, 1001,CONFIRMADO
34613388380,SERVAMOTOR  S R L,1987-06-11-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:58,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CASEROS AV.,3590,,, 1263,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CASEROS AV.,3590,,, 1263,NO CONFIRMADO
34613663160,MADERFER SOCIEDAD ANONIMA,1993-02-28-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,SANTA FE,SANTA FE,COCHABAMBA,4943,,, 3000,CONFIRMADO,SANTA FE,SANTA FE,COCHABAMBA,4943,,, 3000,NO CONFIRMADO
34613689305,MIMBIPA S A,1980-09-12-00:00,SOCIEDAD ANONIMA,2021-05-12-18:09,,BUENOS AIRES,BECCAR,JOSE INGENIEROS,2730,,, 1643,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,327,3,, 1043,NO CONFIRMADO
34613695372,FLICTS  S R L,1987-06-08-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FREIRE R. CAP. GRAL.,2231,1,b, 1428,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FREIRE R. CAP. GRAL.,2231,01,B, 1428,NO CONFIRMADO
34613696743,ITOC S R L,1980-10-02-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SANTA FE,ROSARIO NORTE,CALLAO,1183,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,CALLAO,1183,,, 2000,NO CONFIRMADO
34613718550,BEREU SOCIEDAD ANONIMA,1986-04-28-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,BUENOS AIRES,LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS,7,1268,,, 1900,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,LA PLATA,7,1268,,, 1900,NO CONFIRMADO
34613964187,GRAMARSIDA  S A,1983-12-12-00:00,SOCIEDAD ANONIMA,2018-11-13-16:14,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TARIJA,3787,,, 1253,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TARIJA,3787,,, 1253,NO CONFIRMADO
34614134706,STATUS VIAJES Y TURISMO SOCIEDAD DE RESPONSABILIDAD LIMITADA,1984-09-07-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,SANTA FE,ROSARIO NORTE,BROWN,3129,,, 2000,INEXISTENTE - DESCONOCIDO,SANTA FE,ROSARIO,BROWN,3129,,, 2000,NO CONFIRMADO
34614373204,COOPERATIVA DE AGUA POTABLE Y OTROS SER VICIOS PUBLICOS DE MELCHOR ROMERO LDA,1980-04-27-00:00,COOPERATIVA,2021-01-23-06:29,,BUENOS AIRES,MELCHOR ROMERO,519,7476,,, 1903,CONFIRMADO,BUENOS AIRES,MELCHOR ROMERO,521 E 169 Y 170,0,,, 1903,NO CONFIRMADO
34614526310,CARTAL S R L,1986-03-19-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SAN LUIS,SAN LUIS,RUTA 7 ESQ RIO BAMBA,0,,, 5700,NO CONFIRMADO,SAN LUIS,SAN LUIS,RUTA 7 ESQ RIO BAMBA,0,,, 5700,NO CONFIRMADO
34614658462,KYPROS SOCIEDAD DE RESPONSABILIDAD LIMI TADA,1987-07-10-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-14:54,,TIERRA DEL FUEGO,RIO GRANDE,9 DE JULIO,745,,, 9420,NO CONFIRMADO,TIERRA DEL FUEGO,RIO GRANDE,9 DE JULIO,745,,, 9420,NO CONFIRMADO
34614729092,ARGO SCA,1987-01-28-00:00,SOCIEDAD EN COMANDITA POR ACCIONES,2021-04-26-12:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SCALABRINI ORTIZ AV.,2043,01,C, 1425,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,S ORTIZ,2043,01,C, 1425,NO CONFIRMADO
34614856264,FUNDICION DE ALUMINIO MAC SOC DE HECHO DE CORO OSMAR JOSE Y ALEWAERTS PEDRO ROGE,1987-08-06-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,BUENOS AIRES,TANDIL,LINIERS,960,,, 7000,NO CONFIRMADO,BUENOS AIRES,TANDIL,LINIERS,960,,, 7000,NO CONFIRMADO
34614902266,FRUTICOLA EL MATRERO S R L,1986-02-14-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-05-27-08:05,,RIO NEGRO,GENERAL ROCA,MARIANO MORENO,1071,,, 8332,CONFIRMADO,RIO NEGRO,VILLA REGINA,CHACRA 115 LOTE,3,,, 8336,DECLARADO
34614925363,RIO CUARTO NATURA S A,1986-07-15-00:00,SOCIEDAD ANONIMA,2020-12-01-08:27,,CORDOBA,RIO CUARTO,ALVEAR,1450,,, 5800,CONFIRMADO,CORDOBA,RIO CUARTO,ALVEAR,960,,, 5800,CONFIRMADO
34614986265,CENTRO GINECOLOGIA Y OBSTETRICIA S R L,1983-01-25-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,ENTRE RIOS,PARANA,MONTE CASEROS,468,,, 3100,NO CONFIRMADO,ENTRE RIOS,PARANA,MONTE CASEROS,468,,, 3100,NO CONFIRMADO
34615216323,TRANS BS AS SRL,1987-08-25-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AV.,1342,08,, 1033,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AVDA.,1342,08,, 1033,NO CONFIRMADO
34615367828,F 109 CIENFUEGOS S R L,1991-06-28-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-05-01-08:30,,BUENOS AIRES,PILAR,19,0,,, 1629,CONFIRMADO,BUENOS AIRES,PILAR,19,0,,, 1629,NO CONFIRMADO
34615368298,SIDERSA S A,1984-04-12-12:00,SOCIEDAD ANONIMA,2018-11-13-13:23,,SAN LUIS,SAN LUIS,JUSTO DARACT,1512,,, 5700,NO CONFIRMADO,SAN LUIS,SAN LUIS,JUSTO DARACT,1512,,, 5700,NO CONFIRMADO
34615451624,VILARIN S A C I E I,1987-09-17-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,BUENOS AIRES,MAR DEL PLATA NORTE,RIVADAVIA,3470,09,D, 7600,NO CONFIRMADO,BUENOS AIRES,MAR DEL PLATA,RIVADAVIA,3470,09,D, 7600,NO CONFIRMADO
34615519946,MATHEU ONCE SOC RESP LTDA,1975-08-13-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:44,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AVDA.,2402,,, 1034,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RIVADAVIA AVDA.,2402,,, 1034,NO CONFIRMADO
34615559964,INGENIERO ARNALDO KOHN CONSTRUCCIONES SRL,1986-04-18-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:58,,CORDOBA,CORDOBA,DEAN FUNES,69,05,029, 5000,NO CONFIRMADO,CORDOBA,CORDOBA,DEAN FUNES,69,05,029, 5000,NO CONFIRMADO
34615586503,JD CONFECCIONES SRL,1987-07-30-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SANTA FE,ROSARIO NORTE,SANTA FE,1247,07,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SANTA FE,1247,07,, 2000,NO CONFIRMADO
34615705731,OPTICA MORELLI  S A,1986-02-26-00:00,SOCIEDAD ANONIMA,2019-01-21-14:18,,ENTRE RIOS,PARANA,25 DE JUNIO,28,,, 3100,CONFIRMADO,ENTRE RIOS,PARANA,25 DE JUNIO,28,,, 3100,NO CONFIRMADO
34615829694,TERMINAL 6 SOCIEDAD ANONIMA,1985-08-16-12:00,SOCIEDAD ANONIMA,,,SANTA FE,PTO.G. S.MARTIN,BAIGORRIA Y PARANA,0,,, 2202,NO CONFIRMADO,SANTA FE,PTO.G. S.MARTIN,BAIGORRIA Y PARANA,0,,, 2202,NO CONFIRMADO
34616150296,TOLVA S A,1988-06-01-12:00,SOCIEDAD ANONIMA,,,ENTRE RIOS,PARANA,728,0,,, 3100,NO CONFIRMADO,ENTRE RIOS,PARANA,728,0,,, 3100,NO CONFIRMADO
34616284705,MARIA DEL MAR S R L,1987-08-25-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:03,,BUENOS AIRES,MAR DEL PLATA,DARDO ROCHA,245,,, 7600,NO CONFIRMADO,BUENOS AIRES,MAR DEL PLATA,DARDO ROCHA,245,,, 7600,NO CONFIRMADO
34616305141,TECNODATA,1989-10-30-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,CORDOBA,CORDOBA,DIAZ DE SOLIS,1875,,, 5008,NO CONFIRMADO,CORDOBA,CORDOBA,DIAZ DE SOLIS,1875,,, 5008,NO CONFIRMADO
34616693923,RAUJOR SRL,1987-08-10-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,BUENOS AIRES,PERGAMINO,AZCUENAGA,1269,,, 2700,NO CONFIRMADO,BUENOS AIRES,PERGAMINO,AZCUENAGA,1269,,, 2700,NO CONFIRMADO
34616831439,ANPO S A,1984-06-12-00:00,SOCIEDAD ANONIMA,2020-12-01-17:15,,BUENOS AIRES,MAR DEL PLATA,ACHA,722,,, 7600,NO CONFIRMADO,BUENOS AIRES,MAR DEL PLATA,ACHA,722,,, 7600,NO CONFIRMADO
34616835876,CONSMAGRO SA,1979-04-24-00:00,SOCIEDAD ANONIMA,2021-04-26-13:03,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,COLOMBRES,148,05,D, 1177,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,COLOMBRES,148,05,D, 1177,NO CONFIRMADO
34617183465,TIERRAS GUARUMBA S A,1933-05-11-00:00,SOCIEDAD ANONIMA,2021-01-01-07:09,,BUENOS AIRES,VILLA ROSA,CAAMAÑO,1103,1,119, 1631,DECLARADO POR INTERNET,BUENOS AIRES,SAN ISIDRO,LUIS VERNET,260,,, 1642,NO CONFIRMADO
34617367248,COVABAIR SOCIEDAD ANONIMA,1979-06-15-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,142,03,D, 1005,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,142,03,D, 1337,NO CONFIRMADO
34617778205,FERNOS S A,1978-04-11-00:00,SOCIEDAD ANONIMA,2021-05-03-11:19,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,1722,053,d, 1050,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,1722,3,d, 1050,DECLARADO
34617797587,LUISITO S A,1990-12-24-00:00,SOCIEDAD ANONIMA,2021-04-02-07:34,,MENDOZA,MENDOZA,JUJUY,766,,, 5500,DECLARADO,MENDOZA,MENDOZA,JUJUY,768,,, 5500,DECLARADO
34617827729,CONSTRUCTORA BELGRANO  S R L,1977-04-15-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:50,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MORON,2910,01,A, 1406,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MORON,2910,01,A, 1406,NO CONFIRMADO
34618053816,BRUYA SA,1985-07-02-00:00,SOCIEDAD ANONIMA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,URUGUAY,766,04,024, 1015,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,URUGUAY,766,04,024, 1015,NO CONFIRMADO
34618488413,IMPRONOR  S R L,1989-01-11-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVAREZ JONTE AVDA,1647,02,E, 1416,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALVAREZ JONTE AVDA,1647,02,E, 1416,NO CONFIRMADO
34618611568,CREDITO SOLUCION S R L,1984-09-01-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-13:03,,MENDOZA,MENDOZA,SAN MARTIN,1173,,020, 5500,NO CONFIRMADO,MENDOZA,MENDOZA,SAN MARTIN,1173,,020, 5500,NO CONFIRMADO
34618733132,PARABRISAS LA PLATA S R L,1982-04-28-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,BUENOS AIRES,LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS,7,1914,,, 1900,NO NOTIFICADO,BUENOS AIRES,LA PLATA,7,1914,,, 1900,NO CONFIRMADO
