,doi,pubmed_id,title,subtype,creator,affilname,publicationName,aggregationType,abstract,include?,proc_pubmed_id,proc_abstract,proc_title
319,10.1007/s00542-016-3192-9,,A study of fuzzy control with ant colony algorithm used in mobile robot for shortest path planning and obstacle avoidance,ar,Yen C.,National Formosa University Taiwan,Microsystem Technologies,Journal,"The fuzzy ant colony optimization (FACO) method proposed in this paper minimizes the iterative learning error of the ant colony optimization (ACO) algorithm using fuzzy control. This algorithm finds the shortest path, detects any obstructions in front of the mobile robot using ultrasonic transducers, and adjusts the turning angle of the mobile robot so as to avoid obstacles. To verify the FACO algorithm, simulations using a mobile robot in two environments were carried out. The first environment was shortest-path planning without obstacles. The second environment was shortest-path planning for a single destination with obstacles. This paper also compares tests carried out in a simple Z-shaped environment map and in a complicated environment map. By comparing FACO with a pattern search (PS) algorithm, a genetic algorithm (GA), particle swarm optimization (PSO), and traditional ACO for the cases in the simple Z-shaped environment map, we found that the path distance obtained using FACO was 2.60, 4.40, 2.04, and 6.53% shorter than that using PS, GA, PSO, and ACO, respectively. In the complex environment map, as compared to the self-adaptive ant colony optimization, FACO had a path distance that was 1.38% shorter. Therefore, the results showed that the FACO algorithm can find the shortest path and avoid obstacles for both simple and complex topographies.",NO,0,fuzzy ant colony optimization face method proposed paper minimizes iterative learning error ant colony optimization aco algorithm using fuzzy control algorithm finds shortest path detects obstruction front mobile robot using ultrasonic transducers adjusts turning angle mobile robot avoid obstacles verify face algorithm simulations using mobile robot two environments carried out first environment shortestpath planning without obstacles second environment shortestpath planning single destination obstacles paper also compares tests carried simple shaped environment map complicated environment map comparing face pattern search ps algorithm genetic algorithm ga particle swarm optimization so traditional aco cases simple shaped environment map found path distance obtained using face shorter using ps ga so aco respectively complex environment map compared selfadaptive ant colony optimization face path distance shorter therefore results showed face algorithm find shortest path avoid obstacles simple complex topographies,study fuzzy control ant colony algorithm used mobile robot shortest path planning obstacle avoidance
320,10.1126/scirobotics.aay6276,33137718.0,A formal methods approach to interpretable reinforcement learning for robotic planning,ar,Li X.,Boston University,Science Robotics,Journal,"Growing interest in reinforcement learning approaches to robotic planning and control raises concerns of predictability and safety of robot behaviors realized solely through learned control policies. In addition, formally defining reward functions for complex tasks is challenging, and faulty rewards are prone to exploitation by the learning agent. Here, we propose a formal methods approach to reinforcement learning that (i) provides a formal specification language that integrates high-level, rich, task specifications with a priori, domain-specific knowledge; (ii) makes the reward generation process easily interpretable; (iii) guides the policy generation process according to the specification; and (iv) guarantees the satisfaction of the (critical) safety component of the specification. The main ingredients of our computational framework are a predicate temporal logic specifically tailored for robotic tasks and an automaton-guided, safe reinforcement learning algorithm based on control barrier functions. Although the proposed framework is quite general, we motivate it and illustrate it experimentally for a robotic cooking task, in which two manipulators worked together to make hot dogs.",NO,1,growing interest reinforcement learning approaches robotic planning control raises concerns predictability safety robot behaviors realized solely learned control policies addition formally defining reward functions complex tasks challenging faulty rewards prone exploitation learning agent propose formal methods approach reinforcement learning provides formal specification language integrates highlevel rich task specifications priori domainspecific knowledge ii makes reward generation process easily interpretable iii guides policy generation process according specification iv guarantees satisfaction critical safety component specification main ingredients computational framework predicate temporal logic specifically tailored robotic tasks automatonguided safe reinforcement learning algorithm based control barrier functions although proposed framework quite general motivate illustrate experimentally robotic cooking task two manipulators worked together make hot dogs,formal methods approach interpretable reinforcement learning robotic planning
321,10.1145/3368858,,Tiling optimizations for stencil computations using rewrite rules in lift,ar,Stoltzfus L.,The University of Edinburgh,ACM Transactions on Architecture and Code Optimization,Journal,"Stencil computations are a widely used type of algorithm, found in applications from physical simulations to machine learning. Stencils are embarrassingly parallel, therefore fit on modern hardware such as Graphic Processing Units perfectly. Although stencil computations have been extensively studied, optimizing them for increasingly diverse hardware remains challenging. Domain-specific Languages (DSLs) have raised the programming abstraction and offer good performance; however, this method places the burden on DSL implementers to write almost full-fledged parallelizing compilers and optimizers.

Lift has recently emerged as a promising approach to achieve performance portability by using a small set of reusable parallel primitives that DSL or library writers utilize. Liftâs key novelty is in its encoding of optimizations as a system of extensible rewrite rules which are used to explore the optimization space.

This article demonstrates how complex multi-dimensional stencil code and optimizations are expressed using compositions of simple 1D Lift primitives and rewrite rules. We introduce two optimizations that provide high performance for stencils in particular: classical overlapped tiling for multi-dimensional stencils and 2.5D tiling specifically for 3D stencils. We provide an in-depth analysis on how the tiling optimizations affects stencils of different shapes and sizes across different applications. Our experimental results show that our approach outperforms existing compiler approaches and hand-tuned codes.",NO,0,stencil computations widely used type algorithm found applications physical simulations machine learning stencils embarrassingly parallel therefore fit modern hardware graphic processing units perfectly although stencil computations extensively studied optimizing increasingly diverse hardware remains challenging domainspecific languages dss raised programming abstraction offer good performance however method places burden del implementers write almost fullfledged parallelizing compilers optimizers lift recently emerged promising approach achieve performance portability using small set reusable parallel primitive del library writers utilize lifts key novelty encoding optimization system extensible rewrite rules used explore optimization space article demonstrates complex multidimensional stencil code optimization expressed using compositions simple d lift primitive rewrite rules introduce two optimization provide high performance stencils particular classical overlapped tiling multidimensional stencils d tiling specifically d stencils provide indepth analysis tiling optimization affects stencils different shapes sizes across different applications experimental results show approach outperforms existing compiler approaches handtuned codes,tiling optimization stencil computations using rewrite rules lift
322,10.1109/MC.2019.2942579,,"Cognitive robotics: Making robots sense, understand, and interact",ar,Lange D.,Unity Technologies,Computer,Trade Journal,"Robots have spread from manufacturing floors to spaces occupied by humans. Although robots in these settings may improve the way humans work, the programming by hand of collaborative robots in such environments is increasingly difficult. We predict that recent breakthroughs in large-scale simulations, deep reinforcement learning, and computer vision collectively bring forth a basic level of cognitive abilities to robots that will lead to significant improvements of robotic applications over the next few years.",NO,0,robots spread manufacturing floors spaces occupied humans although robots settings may improve way humans work programming hand collaborative robots environments increasingly difficult predict recent breakthroughs largescale simulations deep reinforcement learning computer vision collectively bring forth basic level cognitive abilities robots lead significant improvements robotic applications next years,cognitive robotics making robots sense understand interact
323,10.1016/j.jss.2019.110406,,DEEPLINK: Recovering issue-commit links based on deep learning,ar,Ruan H.,Fudan University;Shanghai Institute of Intelligent Electronics and Systems,Journal of Systems and Software,Journal,"Highlights

â¢

Only 42.2% of issues in 1078 GitHub Java projects are linked to commits.

â¢

Biased data can cause an effective degradation of link recovery approaches.

â¢

DeepLink outperformed a link recovery approach by 4.6% in F-measure.
The links between issues in an issue-tracking system and commits resolving the issues in a version control system are important for a variety of software engineering tasks (e.g., bug prediction, bug localization and feature location). However, only a small portion of such links are established by manually including issue identifiers in commit logs, leaving a large portion of them lost in the evolution history. To recover issue-commit links, heuristic-based and learning-based techniques leverage the metadata and text/code similarity in issues and commits; however, they fail to capture the embedded semantics in issues and commits and the hidden semantic correlations between issues and commits. As a result, this semantic gap inhibits the accuracy of link recovery.

To bridge this gap, we propose a semantically-enhanced link recovery approach, named DeepLink, which is built on top of deep learning techniques. Specifically, we develop a neural network architecture, using word embedding and recurrent neural network, to learn the semantic representation of natural language descriptions and code in issues and commits as well as the semantic correlation between issues and commits. In experiments, to quantify the prevalence of missing issue-commit links, we analyzed 1078 highly-starred GitHub Java projects (i.e., 583,795 closed issues) and found that only 42.2% of issues were linked to corresponding commits. To evaluate the effectiveness of DeepLink, we compared DeepLink with a state-of-the-art link recovery approach FRLink using ten GitHub Java projects and demonstrated that DeepLink can outperform FRLink in terms of F-measure.",NO,0,highlights issues github java projects linked commits biased data because effective degradation link recovery approaches deeppink outperformed link recovery approach measure links issues issuetracking system commits resolving issues version control system important variety software engineering tasks eg bug prediction bug localization feature location however small portion links established manually including issue identifiers commit logs leaving large portion lost evolution history recover issuecommit links heuristicbased learningbased techniques leverage metadata textcode similarity issues commits however fail capture embedded semantics issues commits hidden semantic correlations issues commits result semantic gap inhibits accuracy link recovery bridge gap propose semanticallyenhanced link recovery approach named deeppink built top deep learning techniques specifically develop neural network architecture using word embedding recurrent neural network learn semantic representation natural language descriptions code issues commits well semantic correlation issues commits experiments quantify prevalence missing issuecommit links analyzed highlystarred github java projects ie closed issues found issues linked corresponding commits evaluate effectiveness deeppink compared deeppink stateoftheart link recovery approach frlink using ten github java projects demonstrated deeppink outperform frlink terms measure,deeppink recovering issuecommit links based deep learning
324,10.1007/s10514-019-09879-8,,"Horizon-based lazy optimal RRT for fast, efficient replanning in dynamic environment",ar,Chen Y.,Harbin Institute of Technology,Autonomous Robots,Journal,"Planning of collision-free trajectory for robot motion under hard constraints and unpredictable environment is a difficult issue. To cope with this problem, this paper presents a novel replanning method based on receding horizon control and asymptotically optimal single-query motion planning. The approach, called the horizon-based lazy optimal rapidly-exploring random tree algorithm, enables real-time replanning in both static and dynamic environment with updated information. Previous feasible solutions are fully considered to generate new plans. Contributions include lazy steering and lazy collision checking search tree, forward tree pruning and sampling distribution online learning. The techniques are proven to be efficient, near optimal and fast responsive to change. Moreover, three experiments are performed to test the properties of the proposed algorithm numerically.",NO,0,planning collisionfree trajectory robot motion hard constraints unpredictable environment difficult issue cope problem paper presents novel replanning method based preceding horizon control asymptotically optimal singlequery motion planning approach called horizonbased lazy optimal rapidlyexploring random tree algorithm enables realtime replanning static dynamic environment updated information previous feasible solutions fully considered generate new plans contributions include lazy steering lazy collision checking search tree forward tree pruning sampling distribution online learning techniques proven efficient near optimal fast responsive change moreover three experiments performed test properties proposed algorithm numerically,horizonbased lazy optimal art fast efficient replanning dynamic environment
325,10.1007/s10514-019-09875-y,,A constrained instantaneous learning approach for aerial package delivery robots: onboard implementation and experimental results,ar,Mehndiratta M.,Singapore Centre for 3D Printing;School of Mechanical and Aerospace Engineering,Autonomous Robots,Journal,"Rather than utilizing a sophisticated robot which is trainedâand tunedâfor a scenario in a specific environment perfectly, most people are interested in seeing robots operating in various conditions where they have never been trained before. In accordance with the goal of utilizing aerial robots for daily operations in real application scenarios, an aerial robot must learn from its own experience and its interactions with the environment. This paper presents an instantaneous learning-based control approach for the precise trajectory tracking of a 3D-printed aerial robot which can adapt itself to the changing working conditions. Considering the fact that model-based controllers suffer from lack of modeling, parameter variations and disturbances in their working environment, we observe that the presented learning-based control method has a compelling ability to significantly reduce the tracking error under aforementioned uncertainties throughout the operation. Three case scenarios are considered: payload mass variations on an aerial robot for a package delivery problem, ground effect when the aerial robot is hovering/flying close to the ground, and wind-gust disturbances encountered in the outdoor environment. In each case study, parameter variations are learned using nonlinear moving horizon estimation (NMHE) method, and the estimated parameters are fed to the nonlinear model predictive controller (NMPC). Thanks to learning capability of the presented framework, the aerial robot can learn from its own experience, and react promptlyâunlike iterative learning control which allows the system to improve tracking accuracy from repetition to repetitionâto reduce the tracking error. Additionally, the fast C++ execution of NMPC and NMHE codes facilitates a complete onboard implementation of the proposed framework on a low-cost embedded processor.",NO,0,rather utilizing sophisticated robot trainedand tunedfor scenario specific environment perfectly people interested seeing robots operating various conditions never trained before accordance goal utilizing aerial robots daily operations real application scenarios aerial robot must learn experience interactions environment paper presents instantaneous learningbased control approach precise trajectory tracking printed aerial robot adapt changing working conditions considering fact modelbased controllers suffer lack modeling parameter variations disturbances working environment observe presented learningbased control method compelling ability significantly reduce tracking error aforementioned uncertainties throughout operation three case scenarios considered payload mass variations aerial robot package delivery problem ground effect aerial robot hoveringflying close ground windgust disturbances encountered outdoor environment case study parameter variations learned using nonlinear moving horizon estimation nme method estimated parameters fed nonlinear model predictive controller nmc thanks learning capability presented framework aerial robot learn experience react promptlyunlike iterative learning control allows system improve tracking accuracy repetition repetitionto reduce tracking error additionally fast c execution nmc nme codes facilitates complete onboard implementation proposed framework lowcost embedded processor,constrained instantaneous learning approach aerial package delivery robots onboard implementation experimental results
326,10.1186/s13638-019-1437-x,,Indoor robot path planning assisted by wireless network,ar,Wang X.,Xi'an Polytechnic University,Eurasip Journal on Wireless Communications and Networking,Journal,"Indoor robot global path planning needs to complete the motion between the starting point and the target point according to robot position command transmitted by the wireless network. Behavior dynamics and rolling windows in global path planning methods have limitations in their applications because the path may not be optimal, there could be a pseudo attractor or blind search in an environment with a large state space, there could be an environment where offline learning is not applicable to real-time changes, or there could be a need to set the probability of selecting the robot action. To solve these problems, we propose a behavior dynamics and rolling windows approach to a path planning which is based on online reinforcement learning. It applies Q learning to optimize the behavior dynamics model parameters to improve the performance, behavior dynamics guides the learning process of Q learning and improves learning efficiency, and each round of intensive learning action selection knowledge is gradually corrected as the Q table is updated. The learning process is optimized. The simulation results show that this method has achieved remarkable improvement in path planning. And, in the actual experiment, the robot obtains the target location information by wireless network, and plans an optimized and smooth global path online.",NO,0,indoor robot global path planning needs complete motion starting point target point according robot position command transmitted wireless network behavior dynamics rolling windows global path planning methods limitations applications path may optimal could pseudo attractor blind search environment large state space could environment offline learning applicable realtime changes could need set probability selecting robot action solve problems propose behavior dynamics rolling windows approach path planning based online reinforcement learning applies q learning optimize behavior dynamics model parameters improve performance behavior dynamics guides learning process q learning improves learning efficiency round intensive learning action selection knowledge gradually corrected q table updated learning process optimized simulation results show method achieved remarkable improvement path planning actual experiment robot obtains target location information wireless network plans optimized smooth global path online,indoor robot path planning assisted wireless network
327,10.1007/s10514-019-09852-5,,Real-time robot path planning from simple to complex obstacle patterns via transfer learning of options,ar,Saha O.,"LG Electronics, Korea",Autonomous Robots,Journal,"We consider the problem of path planning in an initially unknown environment where a robot does not have an a priori map of its environment but has access to prior information accumulated by itself from navigation in similar but not identical environments. To address the navigation problem, we propose a novel, machine learning-based algorithm called Semi-Markov Decision Process with Unawareness and Transfer (SMDPU-T) where a robot records a sequence of its actions around obstacles as action sequences called options which are then reused by it within a framework called Markov Decision Process with unawareness (MDPU) to learn suitable, collision-free maneuvers around more complex obstacles in future. We have analytically derived the cost bounds of the selected option by SMDPU-T and the worst case time complexity of our algorithm. Our experimental results on simulated robots within Webots simulator illustrate that SMDPU-T takes 24\% planning time and 39\% total time to solve same navigation tasks while, our hardware results on a Turtlebot robot indicate that SMDPU-T on average takes 53\% planning time and 60\% total time as compared to a recent, sampling-based path planner.",NO,0,consider problem path planning initially unknown environment robot priori map environment access prior information accumulated navigation similar identical environments address navigation problem propose novel machine learningbased algorithm called semimarkov decision process unawareness transfer smdput robot records sequence actions around obstacles action sequences called options reused within framework called markov decision process unawareness mdp learn suitable collisionfree maneuvers around complex obstacles future analytically derived cost bounds selected option smdput worst case time complexity algorithm experimental results simulated robots within webots simulator illustrate smdput takes planning time total time solve navigation tasks hardware results turtlebot robot indicate smdput average takes planning time total time compared recent samplingbased path planner,realtime robot path planning simple complex obstacle patterns via transfer learning options
328,10.1109/TSMC.2017.2750911,,A Real-Time and Fully Distributed Approach to Motion Planning for Multirobot Systems,ar,Zhou Y.,School of Computer Science and Engineering,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Journal,"Motion planning is one of the most critical problems in multirobot systems. The basic target is to generate a collision-free trajectory for each robot from its initial position to the target position. In this paper, we study the trajectory planning for the multirobot systems operating in unstructured and changing environments. Each robot is equipped with some sensors of limited sensing ranges. We propose a fully distributed approach to planning trajectories for such systems. It combines the model predictive control (MPC) strategy and the incremental sequential convex programming (iSCP) method. The MPC framework is applied to detect the local running environment real-timely with the concept of receding horizon. For each robot, a nonlinear programming is built in its current prediction horizon. To construct its own optimization problem, a robot first needs to communicate with its neighbors to retrieve their current states. Then, the robot predicts the neighbors' future positions in the current horizon and constructs the problem without waiting for the prediction information from its neighbors. At last, each robot solves its problem independently via the iSCP method such that the robot can move autonomously. The proposed method is polynomial in its computational complexity.",NO,0,motion planning one critical problems multirobot systems basic target generate collisionfree trajectory robot initial position target position paper study trajectory planning multirobot systems operating unstructured changing environments robot equipped sensors limited sensing ranges propose fully distributed approach planning trajectories systems combines model predictive control mpc strategy incremental sequential convex programming scp method mpc framework applied detect local running environment realtimely concept preceding horizon robot nonlinear programming built current prediction horizon construct optimization problem robot first needs communicate neighbors retrieve current states robot predicts neighbors future positions current horizon constructs problem without waiting prediction information neighbors last robot solves problem independently via scp method robot move autonomously proposed method polynomial computational complexity,realtime fully distributed approach motion planning multirobot systems
329,10.1016/j.matdes.2019.107975,,Functionally Graded Materials through robotics-inspired path planning,ar,Eliseeva O.,Texas A&amp;M University,Materials and Design,Journal,"Highlights

â¢

Demonstrated a new method of identifying compositional paths in functional gradients in bulk samples

â¢

Demonstrated functionally graded compositions can be created in a direct deposition additive manufacturing system

â¢

Demonstrated the methodology in the functionally graded material going from 316 stainless steel to pure chromium.
Functional grading has recently seen renewed interest with the advancement of additive manufacturing. Unfortunately, the integrity of functional gradients in alloys tends to be compromised by the presence of brittle phases. Recently, CALPHAD-based tools have been used to generate isothermal phase diagrams that are in turn utilized to plan gradient paths that avoid these phases. However, existing frameworks rely extensively on the (limited) ability of humans to visualize and navigate high-dimensional spaces. To tackle this challenge, a Machine Learning approach was used here to map out undesirable regions as âobstaclesâ, while a path-planning algorithm, commonly used in robotics community, was utilized to identify a path in a composition space that would avoid the obstacles, while simultaneously minimizing a cost function. This framework was validated by designing and 3-D printing a functional gradient in bulk samples from 316L stainless steel to pure chromium with a multi-material direct laser deposition system. Both the planned gradient and simple linear gradient samples were fabricated and characterized in as-deposited and heat-treated states to determine local compositions, microstructure and phase constituents. The planned gradient resulted in complete elimination of the detrimental Ï phase after heat treatment, demonstrating the success of the methodology.

Graphical abstract

Download : Download high-res image (231KB)Download : Download full-size image",NO,0,highlights demonstrated new method identifying compositional paths functional gradients bulk samples demonstrated functionally graded compositions created direct deposition additive manufacturing system demonstrated methodology functionally graded material going stainless steel pure chromium functional grading recently seen renewed interest advancement additive manufacturing unfortunately integrity functional gradients alloys tends compromised presence brittle phases recently calphadbased tools used generate isothermal phase diagrams turn utilized plan gradient paths avoid phases however existing frameworks rely extensively limited ability humans visualize navigate highdimensional spaces tackle challenge machine learning approach used map undesirable regions obstacles pathplanning algorithm commonly used robotics community utilized identify path composition space would avoid obstacles simultaneously minimizing cost function framework validated designing d printing functional gradient bulk samples l stainless steel pure chromium multimaterial direct laser deposition system planned gradient simple linear gradient samples fabricated characterized asdeposited heattreated states determine local compositions microstructure phase constituents planned gradient resulted complete elimination detrimental phase heat treatment demonstrating success methodology graphical abstract download download highres image kb download download fullsize image,functionally graded materials roboticsinspired path planning
330,10.1016/j.neucom.2019.07.081,,Sequential learning unification controller from human demonstrations for robotic compliant manipulation,ar,Duan J.,Shenzhen Institute of Advanced Technology;University of Chinese Academy of Sciences,Neurocomputing,Journal,"Robotic compliant manipulation not only contains robot motion but also embodies interaction with the environment. Frequently endowing the compliant manipulation skills to the robot by manual programming or off-line training is complicated and time-consuming. In this paper, we propose a sequential learning framework to take both kinematic profile and variable impedance parameter profile into consideration to model a unified control strategy with âmotion generationâ and âcompliant controlâ. In order to acquire this unification controller efficiently, we use a sequential learning neural network to encode robot motion and a new force-based variable impedance learning algorithm to estimate varying damping and stiffness profiles in three directions. Furthermore, the state-independent stability constraints for variable impedance control are presented. The effectiveness of the proposed learning framework is validated by a set of experiments using the 4-DoF Barrett WAM.",NO,0,robotic compliant manipulation contains robot motion also embodies interaction environment frequently endowing compliant manipulation skills robot manual programming offline training complicated timeconsuming paper propose sequential learning framework take cinematic profile variable impedance parameter profile consideration model unified control strategy motion generation compliant control order acquire unification controller efficiently use sequential learning neural network encode robot motion new forcebased variable impedance learning algorithm estimate varying damping stiffness profiles three directions furthermore stateindependent stability constraints variable impedance control presented effectiveness proposed learning framework validated set experiments using of barrett wam,sequential learning unification controller human demonstrations robotic compliant manipulation
331,10.1080/0951192X.2019.1686177,,Operation of a haptic interface for offline programming of welding robots by applying a spring-damper model,ar,Sanchez-Diaz A.,Universidad AutÃ³noma de Sinaloa,International Journal of Computer Integrated Manufacturing,Journal,"This paper studies a system of a virtual welding torch employed during the teaching process of welding tasks for offline programming of robotic manipulators. The torch is manipulated by the user in a virtual environment applying a haptic interface. An approach based on a spring-damper model is proposed to compute the force to be felt by the user during the manipulation of the interface. The force is such that more realistic sensations are perceived by the handâs user if a collision occurs of the torch in the virtual environment. A suitable strategy is employed to represent the virtual torch by two coupled models with spring-damper systems (SDS). Such models are termed kinematic virtual torch (KVT) and dynamic virtual torch (DVT). Thus, in the studied system, the DVT follows the geometric coordinates of the KVT during a manipulation of the torch avoiding penetration of other objects in the scene. Careful analyses are accomplished on manipulation tasks using different SDS configurations in a case study in order to show the efficacy of the proposed approach. As a result, a desired welding task is properly programmed for a robot in an easy and accurate way.",NO,0,paper studies system virtual welding torch employed teaching process welding tasks offline programming robotic manipulators torch manipulated user virtual environment applying haptic interface approach based springdamper model proposed compute force felt user manipulation interface force realistic sensations perceived hands user collision occurs torch virtual environment suitable strategy employed represent virtual torch two coupled models springdamper systems sds models termed cinematic virtual torch kit dynamic virtual torch dot thus studied system dot follows geometric coordinates kit manipulation torch avoiding penetration objects scene careful analyses accomplished manipulation tasks using different sds configurations case study order show efficacy proposed approach result desired welding task properly programmed robot easy accurate way,operation haptic interface offline programming welding robots applying springdamper model
332,10.1109/RITA.2019.2950130,,Scratch as Driver to Foster Interests for STEM and Educational Robotics,ar,Plaza P.,Universidad Nacional de Educacion a Distancia,Revista Iberoamericana de Tecnologias del Aprendizaje,Journal,"Today, there are a multitude of initiatives that favor the learning of Science, Technology, Engineering, and Mathematics (STEM) and educational robotics (ER). Thanks to the available means, it is very easy to access a wide variety of tools based on programmable hardware. Although there are many options, most of them either require a high economic investment or require a great deal of time for the development of educational activities. Through the results shown in this paper, the great potential of Scratch as a solution for students who are just starting out in the knowledge related to STEM and ER is shown. To show the usefulness of Scratch a course has been designed, which dedicates three modules to the use of Scratch. The three modules have different levels of difficulty for the students, a basic level of difficulty, another intermediate level of difficulty and a last module with an advanced degree of difficulty.",SI,0,today multitude initiatives favor learning science technology engineering mathematics stem educational robotics er thanks available means easy access wide variety tools based programmable hardware although many options either require high economic investment require great deal time development educational activities results shown paper great potential scratch solution students starting knowledge related stem er shown show usefulness scratch course designed dedicates three modules use scratch three modules different levels difficulty students basic level difficulty another intermediate level difficulty last module advanced degree difficulty,scratch driver foster interests stem educational robotics
333,10.1007/s00502-019-00741-4,,Skill-based programming of complex robotic assembly tasks for industrial application,ar,Akkaladevi S.,Profactor GmbH,Elektrotechnik und Informationstechnik,Journal,"In recent years, a paradigm shift is underway as robots leave their typical application field and move into domains that have been untouched by robotic automation. These new kinds of automation systems allow more product variations, smaller life cycles, smaller batch sizes and pave the way from mass production to mass customization. This is due to completely new breed of safe robot technology but also novel ways of setting up new applications like e.g. kinesthetic programming. However, the topic of reducing the programming effort for complex tasks using natural modes of communication is still open. This paper addresses the key developments in this field, shows different ways of programming, and gives relevant use cases in industrial assembly. The technology coverage starts with an online workflow editor called XROB that allows easy-to-use setup of process workflows and related skill parameters. However, in order to reduce the programming effort, a novel way to demonstrate process trajectories by using instrumented hand guided process tools is presented. Finally, the paper gives an overview of a promising approach that allows programming without touching the robot just by demonstrating the process by an expert. The semantic relations between activities executed by the human and robot skills are captured to learn the task sequence of the assembly process. The acquired process knowledge is refined to execute robotic tasks with the help of an interactive graphical user interface (GUI). The system queries the user for feedback, asking for specific information to help the robot complete the task at hand. The given examples show the usability of flexible programming tools in the automation chain and the presented results provide strong evidence of the technological potential in the field.",NO,0,recent years paradigm shift underway robots leave typical application field move domains untouched robotic automation new kinds automation systems allow product variations smaller life cycles smaller batch sizes pave way mass production mass customization due completely new breed safe robot technology also novel ways setting new applications like eg kinesthetic programming however topic reducing programming effort complex tasks using natural modes communication still open paper addresses key developments field shows different ways programming gives relevant use cases industrial assembly technology coverage starts online workflow editor called rob allows easytouse setup process workflow related skill parameters however order reduce programming effort novel way demonstrate process trajectories using instrumented hand guided process tools presented finally paper gives overview promising approach allows programming without touching robot demonstrating process expert semantic relations activities executed human robot skills captured learn task sequence assembly process acquired process knowledge refined execute robotic tasks help interactive graphical user interface gui system queries user feedback asking specific information help robot complete task hand given examples show usability flexible programming tools automation chain presented results provide strong evidence technological potential field,skillbased programming complex robotic assembly tasks industrial application
334,10.1111/coin.12233,,An ambient intelligence approach for learning in smart robotic environments,ar,Bacciu D.,UniversitÃ  di Pisa,Computational Intelligence,Journal,"Smart robotic environments combine traditional (ambient) sensing devices and mobile robots. This combination extends the type of applications that can be considered, reduces their complexity, and enhances the individual values of the devices involved by enabling new services that cannot be performed by a single device. To reduce the amount of preparation and preprogramming required for their deployment in real-world applications, it is important to make these systems self-adapting. The solution presented in this paper is based upon a type of compositional adaptation where (possibly multiple) plans of actions are created through planning and involve the activation of pre-existing capabilities. All the devices in the smart environment participate in a pervasive learning infrastructure, which is exploited to recognize which plans of actions are most suited to the current situation. The system is evaluated in experiments run in a real domestic environment, showing its ability to proactively and smoothly adapt to subtle changes in the environment and in the habits and preferences of their user(s), in presence of appropriately defined performance measuring functions.",NO,0,smart robotic environments combine traditional ambient sensing devices mobile robots combination extends type applications considered reduces complexity enhances individual values devices involved enabling new services cannot performed single device reduce amount preparation preprogramming required deployment realworld applications important make systems selfadapting solution presented paper based upon type compositional adaptation possibly multiple plans actions created planning involve activation preexisting capabilities devices smart environment participate pervasive learning infrastructure exploited recognize plans actions suited current situation system evaluated experiments run real domestic environment showing ability proactively smoothly adapt subtle changes environment habits preferences user presence appropriately defined performance measuring functions,ambient intelligence approach learning smart robotic environments
335,10.1111/coin.12215,,An evolutionary-based approach for dealing with numerical and categorical attributes in ILP,ar,MuÃ±oz-Texzocotetla O.,Universidad AutÃ³noma Metropolitana,Computational Intelligence,Journal,"Inductive logic programming (ILP) induces concepts from a set of positive examples, a set of negative examples, and background knowledge. ILP has been applied on tasks such as natural language processing, finite element mesh design, network mining, robotics, and drug discovery. These data sets usually contain numerical and multivalued categorical attributes; however, only a few relational learning systems are capable of handling them in an efficient way. In this paper, we present an evolutionary approach, called Grouping and Discretization for Enriching the Background Knowledge (GDEBaK), to deal with numerical and multivalued categorical attributes in ILP. This method uses evolutionary operators to create and test numerical splits and subsets of categorical values in accordance with a fitness function. The best subintervals and subsets are added to the background knowledge before constructing candidate hypotheses. We implemented GDEBaK embedded in Aleph and compared it to lazy discretization in Aleph and discretization in Top-down Induction of Logical Decision Trees (TILDE) systems. The results obtained showed that our method improves accuracy and reduces the number of rules in most cases. Finally, we discuss these results and possible lines for future work.",NO,0,inductive logic programming ip induces concepts set positive examples set negative examples background knowledge ip applied tasks natural language processing finite element mesh design network mining robotics drug discovery data sets usually contain numerical multivalued categorical attributes however relational learning systems capable handling efficient way paper present evolutionary approach called grouping discretization enriching background knowledge gdebak deal numerical multivalued categorical attributes ip method uses evolutionary operators create test numerical splits subsets categorical values accordance fitness function best subintervals subsets added background knowledge constructing candidate hypotheses implemented gdebak embedded aleph compared lazy discretization aleph discretization topdown induction logical decision trees tilde systems results obtained showed method improves accuracy reduces number rules cases finally discuss results possible lines future work,evolutionarybased approach dealing numerical categorical attributes ip
